PROLIFIC_PID,target,row_index,cond_hit_rate,cond_fa_rate,RT_present,RT_absent
559ffa9bfdf99b0ad674856a,A,1,0.8333333333333334,0.0,-33.59999990463257,130.39999997615814
559ffa9bfdf99b0ad674856a,A,2,1.0,0.0,-112.70000004768372,-19.44999998807907
559ffa9bfdf99b0ad674856a,A,3,1.0,0.0,-58.000000059604645,128.8499999642372
559ffa9bfdf99b0ad674856a,A,4,1.0,0.16666666666666666,50.40000003576279,7.100000023841858
559ffa9bfdf99b0ad674856a,A,5,1.0,0.0,-105.65000003576279,-45.60000002384186
559ffa9bfdf99b0ad674856a,A,6,1.0,0.0,19.75,-45.60000002384186
559ffa9bfdf99b0ad674856a,A,7,0.6666666666666666,0.0,24.450000047683716,15.5
559ffa9bfdf99b0ad674856a,A,8,1.0,0.0,80.0,80.69999998807907
559ffa9bfdf99b0ad674856a,A,9,1.0,0.3333333333333333,23.200000047683716,35.549999952316284
559ffa9bfdf99b0ad674856a,A,10,1.0,0.0,-7.850000023841858,7.100000023841858
559ffa9bfdf99b0ad674856a,A,11,1.0,0.0,-54.000000059604645,-53.69999998807907
559ffa9bfdf99b0ad674856a,A,12,0.8333333333333334,,-12.399999976158142,
559ffa9bfdf99b0ad674856a,A,13,1.0,0.0,5.800000011920929,130.39999997615814
559ffa9bfdf99b0ad674856a,A,14,1.0,0.0,-59.5,-22.80000001192093
559ffa9bfdf99b0ad674856a,A,15,1.0,0.0,34.499999940395355,-63.64999997615814
559ffa9bfdf99b0ad674856a,A,16,0.8571428571428571,0.0,-58.55000001192093,291.89999997615814
559ffa9bfdf99b0ad674856a,A,17,0.8,0.0,12.349999964237213,87.55000001192093
559ffa9bfdf99b0ad674856a,A,18,0.6666666666666666,0.0,63.049999952316284,130.39999997615814
559ffa9bfdf99b0ad674856a,S,1,0.4,0.0,149.49999994039536,0.0
559ffa9bfdf99b0ad674856a,S,2,0.375,0.0,-80.60000014305115,-10.300000011920929
559ffa9bfdf99b0ad674856a,S,3,0.6666666666666666,0.0,-43.950000047683716,125.45000004768372
559ffa9bfdf99b0ad674856a,S,4,0.0,0.2,,125.45000004768372
559ffa9bfdf99b0ad674856a,S,5,0.5,0.16666666666666666,205.89999997615814,300.0
559ffa9bfdf99b0ad674856a,S,6,0.4,0.4,-183.70000010728836,-2.0
